source,experiment,run_id,notes,moe_runner_backend,attention_backend,max_running_requests,chunked_prefill_size,schedule_policy,mem_fraction_static,cuda_graph_on,speedup_R_conc,speedup_geomean_all_regimes,n_regimes_measured,R_short_decode__speedup,R_short_decode__req_per_s,R_short_decode__tokens_per_s,R_short_decode__MFU_simple_pct,R_medium_balanced__speedup,R_medium_balanced__req_per_s,R_medium_balanced__tokens_per_s,R_medium_balanced__MFU_simple_pct,R_concurrent_decode__speedup,R_concurrent_decode__req_per_s,R_concurrent_decode__tokens_per_s,R_concurrent_decode__MFU_simple_pct,R_long_prefill__speedup,R_long_prefill__req_per_s,R_long_prefill__tokens_per_s,R_long_prefill__MFU_simple_pct,R_prompt_8k_c4_out128__speedup,R_prompt_8k_c4_out128__req_per_s,R_prompt_8k_c4_out128__tokens_per_s,R_prompt_8k_c4_out128__MFU_simple_pct,R_prompt_16k_c2_out128__speedup,R_prompt_16k_c2_out128__req_per_s,R_prompt_16k_c2_out128__tokens_per_s,R_prompt_16k_c2_out128__MFU_simple_pct,R_prompt_32k_c1_out128__speedup,R_prompt_32k_c1_out128__req_per_s,R_prompt_32k_c1_out128__tokens_per_s,R_prompt_32k_c1_out128__MFU_simple_pct,R_prompt_50k_c1_out64__speedup,R_prompt_50k_c1_out64__req_per_s,R_prompt_50k_c1_out64__tokens_per_s,R_prompt_50k_c1_out64__MFU_simple_pct,spec_hash
v3,optuna,v3-trial-0019,v3 Optuna tpe trial,auto,fa3,32,8192,fcfs,0.75,on,1.004,1.274,8,0.989,1.6852,431.4,0.14,0.999,7.3072,1870.6,0.605,1.004,23.8966,6117.5,1.979,1.088,14.7696,472.6,0.153,1.359,7.2281,925.2,0.299,1.528,4.1228,527.7,0.171,1.432,2.338,299.3,0.097,2.166,2.7618,176.8,0.057,sha256:7ebb69cdb
v3,optuna,v3-trial-0021,v3 Optuna tpe trial,auto,fa3,32,8192,fcfs,0.75,on,0.993,1.268,8,0.99,1.6875,432.0,0.14,1.002,7.3221,1874.5,0.606,0.993,23.6391,6051.6,1.958,1.076,14.6033,467.3,0.151,1.336,7.1089,909.9,0.294,1.564,4.2193,540.1,0.175,1.407,2.297,294.0,0.095,2.142,2.7311,174.8,0.057,sha256:adf2ec713
v3,optuna,v3-trial-0017,v3 Optuna tpe trial,auto,fa3,16,8192,fcfs,0.75,on,0.597,1.192,8,0.993,1.6917,433.1,0.14,0.999,7.3025,1869.4,0.605,0.597,14.2188,3640.0,1.178,1.0,13.5683,434.2,0.14,1.37,7.2907,933.2,0.302,1.53,4.1269,528.2,0.171,1.46,2.384,305.2,0.099,2.244,2.8609,183.1,0.059,sha256:dceac9f00
v3,optuna,v3-trial-0013,v3 Optuna tpe trial,auto,fa3,8,2048,fcfs,0.9,on,0.355,1.187,8,0.996,1.6969,434.4,0.141,0.996,7.2839,1864.7,0.603,0.355,8.4559,2164.7,0.7,1.388,18.8322,602.6,0.195,1.456,7.745,991.4,0.321,1.659,4.4757,572.9,0.185,1.473,2.4048,307.8,0.1,2.268,2.8912,185.0,0.06,sha256:89e2a002a
v3,optuna,v3-trial-0025,v3 Optuna tpe trial,flashinfer_cutlass,fa3,32,8192,fcfs,0.75,on,0.93,1.186,8,0.967,1.6483,422.0,0.137,0.975,7.1275,1824.7,0.59,0.93,22.1264,5664.4,1.833,0.887,12.0369,385.2,0.125,1.239,6.5894,843.4,0.273,1.363,3.6778,470.8,0.152,1.433,2.3406,299.6,0.097,2.079,2.6513,169.7,0.055,sha256:ba111208b
v3,optuna,v3-trial-0027,v3 Optuna tpe trial,auto,fa3,8,8192,fcfs,0.75,on,0.356,1.148,8,0.994,1.6943,433.7,0.14,1.001,7.3175,1873.3,0.606,0.356,8.4692,2168.1,0.702,1.203,16.3214,522.3,0.169,1.378,7.3337,938.7,0.304,1.541,4.1565,532.0,0.172,1.463,2.3891,305.8,0.099,2.284,2.9124,186.4,0.06,sha256:ba27e17c7
v2,optuna-phase1,v2-phase1-trial-0001,v2 Optuna phase1 trial,triton,fa3,64,8192,fcfs,0.75,on,0.995,1.046,4,0.995,1.6952,434.0,0.14,1.001,7.3214,1874.3,0.606,0.995,23.6797,6062.0,1.961,1.206,16.3647,523.7,0.169,,,,,,,,,,,,,,,,,sha256:3e238f013
v2,optuna-phase1,v2-phase1-trial-0010,v2 Optuna phase1 trial,triton,fa3,64,8192,fcfs,0.85,on,0.993,1.01,4,0.995,1.6949,433.9,0.14,1.007,7.3637,1885.1,0.61,0.993,23.636,6050.8,1.958,1.046,14.1953,454.3,0.147,,,,,,,,,,,,,,,,,sha256:f8b7199cc
v3,optuna,v3-trial-0006,v3 Optuna tpe trial,triton,fa3,64,-1,lpm,0.9,on,0.998,1.004,8,0.993,1.6921,433.2,0.14,1.001,7.3189,1873.6,0.606,0.998,23.7443,6078.5,1.967,0.994,13.4869,431.6,0.14,1.002,5.3326,682.6,0.221,1.008,2.7191,348.1,0.113,1.012,1.653,211.6,0.068,1.025,1.3064,83.6,0.027,sha256:1c465a8e4
v3,baseline,v3-baseline-true-default,v3 baseline; 1 lifetime x 3 runs,auto,auto,32,-1,lpm,0.85,on,0.998,1.003,8,0.99,1.6864,431.7,0.14,1.002,7.3271,1875.7,0.607,0.998,23.7467,6079.1,1.967,1.006,13.6594,437.1,0.141,1.002,5.3286,682.1,0.221,1.004,2.7096,346.8,0.112,1.001,1.6341,209.2,0.068,1.019,1.2998,83.2,0.027,sha256:b111f3ead
v3,baseline,v3-baseline-cookbook,v3 baseline; 1 lifetime x 3 runs,auto,auto,32,-1,lpm,0.85,on,1.0,1.0,8,1.0,1.7041,436.2,0.141,1.0,7.311,1871.6,0.606,1.0,23.7991,6092.6,1.971,1.0,13.572,434.3,0.141,1.0,5.3204,681.0,0.22,1.0,2.6978,345.3,0.112,1.0,1.633,209.0,0.068,1.0,1.275,81.6,0.026,sha256:727d3f2cc
v3,optuna,v3-trial-0004,v3 Optuna tpe trial,auto,fa3,32,-1,fcfs,0.9,on,0.998,0.997,8,0.99,1.6874,432.0,0.14,0.999,7.3017,1869.2,0.605,0.998,23.7529,6080.7,1.967,0.987,13.3987,428.8,0.139,1.002,5.3336,682.7,0.221,1.004,2.7094,346.8,0.112,1.0,1.6336,209.1,0.068,0.998,1.2729,81.5,0.026,sha256:01ea5db0f
v2,baseline-revalidation,v2-cookbook-run2,v2 explicit 3-lifetime baseline; run 2/3,auto,auto,32,-1,lpm,0.85,on,1.002,0.997,4,0.991,1.688,432.1,0.14,0.997,7.2875,1865.6,0.604,1.002,23.8496,6105.5,1.975,0.997,13.5261,432.8,0.14,,,,,,,,,,,,,,,,,sha256:2a67d5612
v3,optuna,v3-trial-0001,v3 Optuna warm-start trial,triton,fa3,32,-1,lpm,0.9,on,0.998,0.996,8,0.992,1.6904,432.7,0.14,1.0,7.308,1870.9,0.605,0.998,23.7453,6078.8,1.967,0.989,13.4176,429.4,0.139,0.994,5.2859,676.6,0.219,0.994,2.6817,343.3,0.111,1.002,1.6363,209.4,0.068,0.999,1.2732,81.5,0.026,sha256:3479412ca
v2,baseline-revalidation,v2-cookbook-run1,v2 explicit 3-lifetime baseline; run 1/3,auto,auto,32,-1,lpm,0.85,on,0.992,0.995,4,0.993,1.6918,433.1,0.14,0.995,7.2708,1861.3,0.602,0.992,23.617,6046.0,1.956,1.002,13.6033,435.3,0.141,,,,,,,,,,,,,,,,,sha256:2a67d5612
v2,baseline-revalidation,v2-cookbook-run3,v2 explicit 3-lifetime baseline; run 3/3,auto,auto,32,-1,lpm,0.85,on,0.998,0.995,4,0.993,1.6923,433.2,0.14,0.998,7.2979,1868.3,0.604,0.998,23.7562,6081.6,1.968,0.993,13.4703,431.0,0.139,,,,,,,,,,,,,,,,,sha256:2a67d5612
v2,manual-validation,v2-triton-moe-manual,v2 manual validation: triton MoE + baseline batching,triton,auto,32,-1,lpm,0.85,on,0.989,0.992,4,0.992,1.6908,432.9,0.14,0.999,7.3035,1869.7,0.605,0.989,23.5267,6022.8,1.949,0.987,13.3936,428.6,0.139,,,,,,,,,,,,,,,,,sha256:32016a081
v3,optuna,v3-trial-0003,v3 Optuna warm-start trial,auto,fa3,32,-1,fcfs,0.9,on,0.996,0.99,8,0.992,1.6896,432.5,0.14,1.004,7.3372,1878.3,0.608,0.996,23.7156,6071.2,1.964,0.965,13.1018,419.3,0.136,0.99,5.2652,673.9,0.218,0.997,2.6906,344.4,0.111,0.975,1.593,203.9,0.066,1.002,1.2775,81.8,0.026,sha256:b639b0fd8
v3,optuna,v3-trial-0000,v3 Optuna warm-start trial,auto,fa3,32,-1,lpm,0.9,on,0.98,0.989,8,0.99,1.6868,431.8,0.14,1.001,7.3152,1872.7,0.606,0.98,23.323,5970.7,1.932,0.997,13.534,433.1,0.14,0.992,5.2804,675.9,0.219,0.991,2.6745,342.3,0.111,0.987,1.6117,206.3,0.067,0.972,1.2394,79.3,0.026,sha256:99fc4c797
v2,baseline,v2-baseline-cookbook,v2 baseline (only 4 regimes),auto,auto,32,-1,lpm,0.85,on,0.974,0.984,4,0.989,1.6858,431.6,0.14,0.996,7.2812,1864.0,0.603,0.974,23.1842,5935.1,1.92,0.978,13.2756,424.8,0.137,,,,,,,,,,,,,,,,,sha256:2a67d5612
v2,baseline,v2-baseline-true-default,v2 baseline (only 4 regimes),auto,auto,32,-1,lpm,0.85,on,0.902,0.973,4,0.993,1.692,433.1,0.14,0.996,7.2786,1863.3,0.603,0.902,21.4703,5496.4,1.778,1.005,13.6347,436.3,0.141,,,,,,,,,,,,,,,,,sha256:abd3bd31f
v2,optuna-main,v2-main-trial-0019,v2 Optuna main trial,flashinfer_cutlass,fa3,64,8192,lpm,0.9,on,0.914,0.935,4,0.983,1.6752,428.9,0.139,0.972,7.1061,1819.2,0.589,0.914,21.7455,5566.9,1.801,0.875,11.8818,380.2,0.123,,,,,,,,,,,,,,,,,sha256:f9b64f5a6
v2,optuna-main,v2-main-trial-0017,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.938,0.881,4,0.965,1.6449,421.1,0.136,0.97,7.0923,1815.6,0.587,0.938,22.3194,5713.8,1.849,0.687,9.3244,298.4,0.097,,,,,,,,,,,,,,,,,sha256:c6206f41f
v2,optuna-main,v2-main-trial-0021,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.93,0.881,4,0.965,1.6443,420.9,0.136,0.971,7.0983,1817.2,0.588,0.93,22.1367,5667.0,1.834,0.691,9.3732,299.9,0.097,,,,,,,,,,,,,,,,,sha256:26f9d54e0
v2,optuna-main,v2-main-trial-0011,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.934,0.88,4,0.967,1.6477,421.8,0.136,0.971,7.0973,1816.9,0.588,0.934,22.2396,5693.3,1.842,0.684,9.2804,297.0,0.096,,,,,,,,,,,,,,,,,sha256:24d814d75
v2,optuna-main,v2-main-trial-0018,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.936,0.88,4,0.965,1.6452,421.2,0.136,0.971,7.0954,1816.4,0.588,0.936,22.2797,5703.6,1.845,0.683,9.2724,296.7,0.096,,,,,,,,,,,,,,,,,sha256:3eb4154be
v2,optuna-main,v2-main-trial-0022,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.924,0.88,4,0.966,1.6461,421.4,0.136,0.975,7.1317,1825.7,0.591,0.924,21.9846,5628.0,1.821,0.688,9.342,298.9,0.097,,,,,,,,,,,,,,,,,sha256:f598866d8
v2,optuna-main,v2-main-trial-0024,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.927,0.88,4,0.965,1.645,421.1,0.136,0.973,7.1136,1821.1,0.589,0.927,22.0672,5649.2,1.828,0.688,9.3393,298.9,0.097,,,,,,,,,,,,,,,,,sha256:481bda6fb
v2,optuna-main,v2-main-trial-0010,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.928,0.879,4,0.966,1.6469,421.6,0.136,0.97,7.091,1815.3,0.587,0.928,22.0844,5653.6,1.829,0.685,9.3008,297.6,0.096,,,,,,,,,,,,,,,,,sha256:1fddc69fb
v2,optuna-main,v2-main-trial-0016,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.85,on,0.929,0.879,4,0.966,1.6465,421.5,0.136,0.971,7.0993,1817.4,0.588,0.929,22.115,5661.5,1.832,0.686,9.311,298.0,0.096,,,,,,,,,,,,,,,,,sha256:08a3e9e26
v2,optuna-main,v2-main-trial-0000,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,fcfs,0.9,on,0.932,0.878,4,0.966,1.6464,421.5,0.136,0.968,7.0787,1812.2,0.586,0.932,22.1709,5675.7,1.836,0.682,9.2501,296.0,0.096,,,,,,,,,,,,,,,,,sha256:920f25648
v2,optuna-main,v2-main-trial-0014,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.924,0.877,4,0.968,1.6491,422.2,0.137,0.973,7.1126,1820.8,0.589,0.924,21.9912,5629.7,1.822,0.681,9.241,295.7,0.096,,,,,,,,,,,,,,,,,sha256:6b4333f9c
v2,optuna-main,v2-main-trial-0023,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.92,0.877,4,0.966,1.6465,421.5,0.136,0.973,7.1153,1821.5,0.589,0.92,21.8927,5604.5,1.813,0.683,9.2743,296.8,0.096,,,,,,,,,,,,,,,,,sha256:709eea946
v2,optuna-main,v2-main-trial-0012,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.919,0.876,4,0.964,1.6433,420.7,0.136,0.973,7.1107,1820.3,0.589,0.919,21.8675,5598.1,1.811,0.682,9.2548,296.2,0.096,,,,,,,,,,,,,,,,,sha256:d04b075d4
v2,optuna-main,v2-main-trial-0013,v2 Optuna main trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.921,0.876,4,0.964,1.6423,420.4,0.136,0.971,7.0984,1817.2,0.588,0.921,21.9185,5611.1,1.816,0.683,9.2678,296.6,0.096,,,,,,,,,,,,,,,,,sha256:96a86d1c5
v2,optuna-phase2a,v2-phase2a-trial-0000,v2 Optuna phase2a trial,flashinfer_cutlass,fa3,32,-1,fcfs,0.9,on,0.926,0.876,4,0.965,1.6444,421.0,0.136,0.97,7.0899,1815.0,0.587,0.926,22.0393,5642.1,1.826,0.679,9.2181,295.0,0.095,,,,,,,,,,,,,,,,,sha256:920f25648
v2,optuna-main,v2-main-trial-0004,v2 Optuna main trial,triton,fa3,8,2048,fcfs,0.75,on,0.357,0.853,4,0.992,1.6905,432.8,0.14,1.024,7.4851,1916.2,0.62,0.357,8.4995,2175.9,0.704,1.461,19.8324,634.6,0.205,,,,,,,,,,,,,,,,,sha256:8ebf1548a
v2,optuna-phase2a,v2-phase2a-trial-0004,v2 Optuna phase2a trial,triton,fa3,8,2048,fcfs,0.75,on,0.356,0.824,4,0.993,1.6919,433.1,0.14,1.01,7.3861,1890.8,0.612,0.356,8.4821,2171.4,0.703,1.287,17.4677,559.0,0.181,,,,,,,,,,,,,,,,,sha256:8ebf1548a
v3,optuna,v3-trial-0009,v3 Optuna tpe trial,flashinfer_cutlass,fa3,64,-1,lpm,0.9,on,0.941,0.823,8,0.984,1.6761,429.1,0.139,0.97,7.094,1816.1,0.588,0.941,22.3866,5731.0,1.854,0.684,9.2863,297.2,0.096,0.753,4.0067,512.9,0.166,0.742,2.002,256.3,0.083,0.812,1.3256,169.7,0.055,0.756,0.9641,61.7,0.02,sha256:696659ff5
v3,optuna,v3-trial-0002,v3 Optuna warm-start trial,flashinfer_cutlass,fa3,32,-1,lpm,0.9,on,0.938,0.821,8,0.964,1.642,420.4,0.136,0.969,7.0879,1814.5,0.587,0.938,22.3297,5716.4,1.85,0.682,9.2551,296.2,0.096,0.754,4.0104,513.3,0.166,0.741,2.0001,256.0,0.083,0.817,1.3336,170.7,0.055,0.758,0.9669,61.9,0.02,sha256:009daa8d7
v2,optuna-main,v2-main-trial-0001,v2 Optuna main trial,triton,fa3,8,8192,lpm,0.9,on,0.354,0.793,4,0.997,1.6998,435.1,0.141,0.989,7.2324,1851.5,0.599,0.354,8.4253,2156.9,0.698,1.131,15.3462,491.1,0.159,,,,,,,,,,,,,,,,,sha256:72b145606
v2,optuna-main,v2-main-trial-0020,v2 Optuna main trial,flashinfer_cutlass,fa3,16,-1,lpm,0.85,on,0.571,0.78,4,0.966,1.6454,421.2,0.136,0.97,7.093,1815.8,0.588,0.571,13.5876,3478.4,1.125,0.691,9.3783,300.1,0.097,,,,,,,,,,,,,,,,,sha256:59fa7be2f
v2,optuna-main,v2-main-trial-0015,v2 Optuna main trial,flashinfer_cutlass,fa3,16,-1,lpm,0.9,on,0.571,0.778,4,0.964,1.6422,420.4,0.136,0.971,7.0963,1816.7,0.588,0.571,13.5998,3481.6,1.126,0.684,9.2857,297.1,0.096,,,,,,,,,,,,,,,,,sha256:86dd766d3
v3,optuna,v3-trial-0008,v3 Optuna tpe trial,flashinfer_cutlass,fa3,16,-1,lpm,0.9,on,0.572,0.776,8,0.965,1.6452,421.2,0.136,0.97,7.0946,1816.2,0.588,0.572,13.6236,3487.6,1.128,0.684,9.2833,297.1,0.096,0.753,4.0068,512.9,0.166,0.752,2.0277,259.6,0.084,0.83,1.3554,173.5,0.056,0.764,0.9741,62.3,0.02,sha256:5a842f066
v2,optuna-phase1,v2-phase1-trial-0004,v2 Optuna phase1 trial,flashinfer_cutlass,fa3,32,-1,fcfs,0.9,off,0.391,0.353,4,0.21,0.3579,91.6,0.03,0.374,2.7371,700.7,0.227,0.391,9.2959,2379.7,0.77,0.507,6.8809,220.2,0.071,,,,,,,,,,,,,,,,,sha256:4e910ce69
v2,optuna-main,v2-main-trial-0007,v2 Optuna main trial,flashinfer_cutlass,fa3,64,2048,fcfs,0.9,off,0.39,0.337,4,0.215,0.3663,93.8,0.03,0.311,2.2726,581.8,0.188,0.39,9.2809,2375.9,0.769,0.494,6.7044,214.5,0.069,,,,,,,,,,,,,,,,,sha256:ab55fe48c
v2,optuna-main,v2-main-trial-0002,v2 Optuna main trial,flashinfer_cutlass,fa3,16,2048,fcfs,0.75,off,0.225,0.314,4,0.207,0.3524,90.2,0.029,0.362,2.65,678.4,0.22,0.225,5.3554,1371.0,0.444,0.574,7.7882,249.2,0.081,,,,,,,,,,,,,,,,,sha256:3716a3d3d
v3,optuna,v3-trial-0011,v3 Optuna tpe trial,triton,fa3,32,8192,fcfs,0.75,off,0.287,0.29,8,0.133,0.2259,57.8,0.019,0.234,1.714,438.8,0.142,0.287,6.8258,1747.4,0.565,0.386,5.2358,167.5,0.054,0.312,1.6614,212.7,0.069,0.308,0.8302,106.3,0.034,0.259,0.4222,54.0,0.017,0.59,0.7523,48.1,0.016,sha256:bc9c0556a
v2,optuna-main,v2-main-trial-0005,v2 Optuna main trial,flashinfer_cutlass,fa3,8,2048,fcfs,0.85,off,0.124,0.284,4,0.201,0.3418,87.5,0.028,0.361,2.641,676.1,0.219,0.124,2.9531,756.0,0.245,0.728,9.8844,316.3,0.102,,,,,,,,,,,,,,,,,sha256:3b3dc69b0
v3,optuna,v3-trial-0014,v3 Optuna tpe trial,triton,fa3,32,-1,lpm,0.85,off,0.292,0.278,8,0.132,0.2254,57.7,0.019,0.24,1.7525,448.6,0.145,0.292,6.9415,1777.0,0.575,0.397,5.3853,172.3,0.056,0.294,1.5637,200.2,0.065,0.284,0.7652,97.9,0.032,0.248,0.4052,51.9,0.017,0.47,0.5988,38.3,0.012,sha256:4c354dfc5
v3,optuna,v3-trial-0026,v3 Optuna tpe trial,auto,fa3,16,8192,fcfs,0.75,off,0.151,0.276,8,0.137,0.2337,59.8,0.019,0.245,1.7927,458.9,0.148,0.151,3.6037,922.5,0.298,0.388,5.2719,168.7,0.055,0.317,1.689,216.2,0.07,0.315,0.849,108.7,0.035,0.274,0.448,57.3,0.019,0.615,0.7842,50.2,0.016,sha256:b0d4ebf44
v3,optuna,v3-trial-0010,v3 Optuna tpe trial,auto,fa3,8,2048,fcfs,0.85,off,0.076,0.258,8,0.136,0.2313,59.2,0.019,0.243,1.7784,455.3,0.147,0.076,1.8127,464.0,0.15,0.448,6.0869,194.8,0.063,0.321,1.7101,218.9,0.071,0.322,0.8684,111.2,0.036,0.272,0.4447,56.9,0.018,0.626,0.7979,51.1,0.017,sha256:17d570f13
v2,optuna-main,v2-main-trial-0008,v2 Optuna main trial,triton,fa3,32,2048,fcfs,0.85,off,0.299,0.258,4,0.136,0.2323,59.5,0.019,0.245,1.7926,458.9,0.148,0.299,7.1191,1822.5,0.59,0.446,6.0498,193.6,0.063,,,,,,,,,,,,,,,,,sha256:263a3c0a6
v2,optuna-main,v2-main-trial-0006,v2 Optuna main trial,triton,fa3,64,8192,fcfs,0.75,off,0.289,0.25,4,0.136,0.2325,59.5,0.019,0.24,1.7567,449.7,0.146,0.289,6.8755,1760.1,0.57,0.414,5.6237,180.0,0.058,,,,,,,,,,,,,,,,,sha256:1e8f7e756
v3,optuna,v3-trial-0018,v3 Optuna tpe trial,auto,fa3,8,8192,fcfs,0.75,off,0.074,0.248,8,0.131,0.2237,57.3,0.019,0.244,1.7823,456.3,0.148,0.074,1.756,449.5,0.145,0.393,5.3293,170.5,0.055,0.31,1.6493,211.1,0.068,0.31,0.8358,107.0,0.035,0.264,0.4318,55.3,0.018,0.608,0.775,49.6,0.016,sha256:9ba6adfe8
v3,optuna,v3-trial-0012,v3 Optuna tpe trial,triton,fa3,16,-1,fcfs,0.85,off,0.146,0.246,8,0.127,0.2158,55.3,0.018,0.23,1.6793,429.9,0.139,0.146,3.4637,886.7,0.287,0.382,5.1826,165.8,0.054,0.28,1.4914,190.9,0.062,0.273,0.7365,94.3,0.031,0.241,0.3937,50.4,0.016,0.449,0.5728,36.7,0.012,sha256:42cbf8e7e
