source,experiment,run_id,notes,moe_runner_backend,attention_backend,max_running_requests,chunked_prefill_size,schedule_policy,mem_fraction_static,cuda_graph_on,speedup_R_conc,speedup_geomean_all_regimes,n_regimes_measured,R_short_decode__speedup,R_short_decode__req_per_s,R_short_decode__tokens_per_s,R_short_decode__MFU_simple_pct,R_short_decode__MFU_amortized_pct,R_short_decode__MBU_pct,R_medium_balanced__speedup,R_medium_balanced__req_per_s,R_medium_balanced__tokens_per_s,R_medium_balanced__MFU_simple_pct,R_medium_balanced__MFU_amortized_pct,R_medium_balanced__MBU_pct,R_concurrent_decode__speedup,R_concurrent_decode__req_per_s,R_concurrent_decode__tokens_per_s,R_concurrent_decode__MFU_simple_pct,R_concurrent_decode__MFU_amortized_pct,R_concurrent_decode__MBU_pct,R_long_prefill__speedup,R_long_prefill__req_per_s,R_long_prefill__tokens_per_s,R_long_prefill__MFU_simple_pct,R_long_prefill__MFU_amortized_pct,R_long_prefill__MBU_pct,R_prompt_8k_c4_out128__speedup,R_prompt_8k_c4_out128__req_per_s,R_prompt_8k_c4_out128__tokens_per_s,R_prompt_8k_c4_out128__MFU_simple_pct,R_prompt_8k_c4_out128__MFU_amortized_pct,R_prompt_8k_c4_out128__MBU_pct,R_prompt_16k_c2_out128__speedup,R_prompt_16k_c2_out128__req_per_s,R_prompt_16k_c2_out128__tokens_per_s,R_prompt_16k_c2_out128__MFU_simple_pct,R_prompt_16k_c2_out128__MFU_amortized_pct,R_prompt_16k_c2_out128__MBU_pct,R_prompt_32k_c1_out128__speedup,R_prompt_32k_c1_out128__req_per_s,R_prompt_32k_c1_out128__tokens_per_s,R_prompt_32k_c1_out128__MFU_simple_pct,R_prompt_32k_c1_out128__MFU_amortized_pct,R_prompt_32k_c1_out128__MBU_pct,R_prompt_50k_c1_out64__speedup,R_prompt_50k_c1_out64__req_per_s,R_prompt_50k_c1_out64__tokens_per_s,R_prompt_50k_c1_out64__MFU_simple_pct,R_prompt_50k_c1_out64__MFU_amortized_pct,R_prompt_50k_c1_out64__MBU_pct,spec_hash
v2,optuna-phase1,v2-phase1-trial-0004,v2 Optuna phase1 trial,flashinfer_cutlass,fa3,32,-1,fcfs,0.9,off,0.391,0.353,4,0.21,0.3579,91.6,0.03,0.045,6.108,0.374,2.7371,700.7,0.227,1.159,5.839,0.391,9.2959,2379.7,0.77,1.558,4.958,0.507,6.8809,220.2,0.071,12.117,3.67,,,,,,,,,,,,,,,,,,,,,,,,,sha256:4e910ce69
v2,optuna-main,v2-main-trial-0007,v2 Optuna main trial,flashinfer_cutlass,fa3,64,2048,fcfs,0.9,off,0.39,0.337,4,0.215,0.3663,93.8,0.03,0.046,6.252,0.311,2.2726,581.8,0.188,0.962,4.848,0.39,9.2809,2375.9,0.769,1.556,4.95,0.494,6.7044,214.5,0.069,11.806,3.576,,,,,,,,,,,,,,,,,,,,,,,,,sha256:ab55fe48c
v2,optuna-main,v2-main-trial-0004,v2 Optuna main trial,triton,fa3,8,2048,fcfs,0.75,on,0.357,0.853,4,0.992,1.6905,432.8,0.14,0.212,28.851,1.024,7.4851,1916.2,0.62,3.17,15.968,0.357,8.4995,2175.9,0.704,1.425,4.533,1.461,19.8324,634.6,0.205,34.923,10.577,,,,,,,,,,,,,,,,,,,,,,,,,sha256:8ebf1548a
v3,optuna,v3-trial-0027,v3 Optuna tpe trial,auto,fa3,8,8192,fcfs,0.75,on,0.356,1.148,8,0.994,1.6943,433.7,0.14,0.212,28.915,1.001,7.3175,1873.3,0.606,3.099,15.611,0.356,8.4692,2168.1,0.702,1.42,4.517,1.203,16.3214,522.3,0.169,28.74,8.705,1.378,7.3337,938.7,0.304,27.002,15.645,1.541,4.1565,532.0,0.172,32.669,17.734,1.463,2.3891,305.8,0.099,42.594,20.387,2.284,2.9124,186.4,0.06,91.95,12.426,sha256:ba27e17c7
v2,optuna-phase2a,v2-phase2a-trial-0004,v2 Optuna phase2a trial,triton,fa3,8,2048,fcfs,0.75,on,0.356,0.824,4,0.993,1.6919,433.1,0.14,0.212,28.876,1.01,7.3861,1890.8,0.612,3.128,15.757,0.356,8.4821,2171.4,0.703,1.422,4.524,1.287,17.4677,559.0,0.181,30.759,9.316,,,,,,,,,,,,,,,,,,,,,,,,,sha256:8ebf1548a
v3,optuna,v3-trial-0013,v3 Optuna tpe trial,auto,fa3,8,2048,fcfs,0.9,on,0.355,1.187,8,0.996,1.6969,434.4,0.141,0.213,28.961,0.996,7.2839,1864.7,0.603,3.085,15.539,0.355,8.4559,2164.7,0.7,1.417,4.51,1.388,18.8322,602.6,0.195,33.161,10.044,1.456,7.745,991.4,0.321,28.516,16.523,1.659,4.4757,572.9,0.185,35.178,19.096,1.473,2.4048,307.8,0.1,42.873,20.521,2.268,2.8912,185.0,0.06,91.279,12.336,sha256:89e2a002a
v2,optuna-main,v2-main-trial-0001,v2 Optuna main trial,triton,fa3,8,8192,lpm,0.9,on,0.354,0.793,4,0.997,1.6998,435.1,0.141,0.213,29.009,0.989,7.2324,1851.5,0.599,3.063,15.429,0.354,8.4253,2156.9,0.698,1.412,4.493,1.131,15.3462,491.1,0.159,27.023,8.185,,,,,,,,,,,,,,,,,,,,,,,,,sha256:72b145606
v2,optuna-main,v2-main-trial-0008,v2 Optuna main trial,triton,fa3,32,2048,fcfs,0.85,off,0.299,0.258,4,0.136,0.2323,59.5,0.019,0.029,3.965,0.245,1.7926,458.9,0.148,0.759,3.824,0.299,7.1191,1822.5,0.59,1.193,3.797,0.446,6.0498,193.6,0.063,10.653,3.227,,,,,,,,,,,,,,,,,,,,,,,,,sha256:263a3c0a6
v3,optuna,v3-trial-0014,v3 Optuna tpe trial,triton,fa3,32,-1,lpm,0.85,off,0.292,0.278,8,0.132,0.2254,57.7,0.019,0.028,3.847,0.24,1.7525,448.6,0.145,0.742,3.739,0.292,6.9415,1777.0,0.575,1.164,3.702,0.397,5.3853,172.3,0.056,9.483,2.872,0.294,1.5637,200.2,0.065,5.757,3.336,0.284,0.7652,97.9,0.032,6.014,3.265,0.248,0.4052,51.9,0.017,7.224,3.457,0.47,0.5988,38.3,0.012,18.906,2.555,sha256:4c354dfc5
v2,optuna-main,v2-main-trial-0006,v2 Optuna main trial,triton,fa3,64,8192,fcfs,0.75,off,0.289,0.25,4,0.136,0.2325,59.5,0.019,0.029,3.968,0.24,1.7567,449.7,0.146,0.744,3.748,0.289,6.8755,1760.1,0.57,1.152,3.667,0.414,5.6237,180.0,0.058,9.903,2.999,,,,,,,,,,,,,,,,,,,,,,,,,sha256:1e8f7e756
v3,optuna,v3-trial-0011,v3 Optuna tpe trial,triton,fa3,32,8192,fcfs,0.75,off,0.287,0.29,8,0.133,0.2259,57.8,0.019,0.028,3.856,0.234,1.714,438.8,0.142,0.726,3.657,0.287,6.8258,1747.4,0.565,1.144,3.64,0.386,5.2358,167.5,0.054,9.22,2.792,0.312,1.6614,212.7,0.069,6.117,3.544,0.308,0.8302,106.3,0.034,6.525,3.542,0.259,0.4222,54.0,0.017,7.527,3.603,0.59,0.7523,48.1,0.016,23.751,3.21,sha256:bc9c0556a
v2,optuna-main,v2-main-trial-0002,v2 Optuna main trial,flashinfer_cutlass,fa3,16,2048,fcfs,0.75,off,0.225,0.314,4,0.207,0.3524,90.2,0.029,0.044,6.014,0.362,2.65,678.4,0.22,1.122,5.653,0.225,5.3554,1371.0,0.444,0.898,2.856,0.574,7.7882,249.2,0.081,13.714,4.154,,,,,,,,,,,,,,,,,,,,,,,,,sha256:3716a3d3d
v3,optuna,v3-trial-0026,v3 Optuna tpe trial,auto,fa3,16,8192,fcfs,0.75,off,0.151,0.276,8,0.137,0.2337,59.8,0.019,0.029,3.989,0.245,1.7927,458.9,0.148,0.759,3.824,0.151,3.6037,922.5,0.298,0.604,1.922,0.388,5.2719,168.7,0.055,9.283,2.812,0.317,1.689,216.2,0.07,6.219,3.603,0.315,0.849,108.7,0.035,6.673,3.622,0.274,0.448,57.3,0.019,7.987,3.823,0.615,0.7842,50.2,0.016,24.758,3.346,sha256:b0d4ebf44
v3,optuna,v3-trial-0012,v3 Optuna tpe trial,triton,fa3,16,-1,fcfs,0.85,off,0.146,0.246,8,0.127,0.2158,55.3,0.018,0.027,3.684,0.23,1.6793,429.9,0.139,0.711,3.583,0.146,3.4637,886.7,0.287,0.581,1.847,0.382,5.1826,165.8,0.054,9.126,2.764,0.28,1.4914,190.9,0.062,5.491,3.182,0.273,0.7365,94.3,0.031,5.789,3.142,0.241,0.3937,50.4,0.016,7.02,3.36,0.449,0.5728,36.7,0.012,18.085,2.444,sha256:42cbf8e7e
v2,optuna-main,v2-main-trial-0005,v2 Optuna main trial,flashinfer_cutlass,fa3,8,2048,fcfs,0.85,off,0.124,0.284,4,0.201,0.3418,87.5,0.028,0.043,5.833,0.361,2.641,676.1,0.219,1.118,5.634,0.124,2.9531,756.0,0.245,0.495,1.575,0.728,9.8844,316.3,0.102,17.405,5.272,,,,,,,,,,,,,,,,,,,,,,,,,sha256:3b3dc69b0
v2,optuna-main,v2-main-trial-0009,v2 Optuna main trial,triton,fa3,8,2048,fcfs,0.75,off,0.079,0.188,4,0.137,0.2335,59.8,0.019,0.029,3.984,0.252,1.8418,471.5,0.153,0.78,3.929,0.079,1.871,479.0,0.155,0.314,0.998,0.463,6.281,201.0,0.065,11.06,3.35,,,,,,,,,,,,,,,,,,,,,,,,,sha256:e01af20ad
v3,optuna,v3-trial-0010,v3 Optuna tpe trial,auto,fa3,8,2048,fcfs,0.85,off,0.076,0.258,8,0.136,0.2313,59.2,0.019,0.029,3.947,0.243,1.7784,455.3,0.147,0.753,3.794,0.076,1.8127,464.0,0.15,0.304,0.967,0.448,6.0869,194.8,0.063,10.718,3.246,0.321,1.7101,218.9,0.071,6.296,3.648,0.322,0.8684,111.2,0.036,6.825,3.705,0.272,0.4447,56.9,0.018,7.929,3.795,0.626,0.7979,51.1,0.017,25.192,3.404,sha256:17d570f13
v2,optuna-phase2a,v2-phase2a-trial-0003,v2 Optuna phase2a trial,triton,fa3,8,2048,fcfs,0.75,off,0.076,0.181,4,0.132,0.2254,57.7,0.019,0.028,3.847,0.242,1.7707,453.3,0.147,0.75,3.778,0.076,1.8007,461.0,0.149,0.302,0.96,0.441,5.9816,191.4,0.062,10.533,3.19,,,,,,,,,,,,,,,,,,,,,,,,,sha256:8b47f94e2
v3,optuna,v3-trial-0018,v3 Optuna tpe trial,auto,fa3,8,8192,fcfs,0.75,off,0.074,0.248,8,0.131,0.2237,57.3,0.019,0.028,3.819,0.244,1.7823,456.3,0.148,0.755,3.802,0.074,1.756,449.5,0.145,0.294,0.937,0.393,5.3293,170.5,0.055,9.384,2.842,0.31,1.6493,211.1,0.068,6.073,3.519,0.31,0.8358,107.0,0.035,6.57,3.566,0.264,0.4318,55.3,0.018,7.698,3.685,0.608,0.775,49.6,0.016,24.468,3.307,sha256:9ba6adfe8
v2,optuna-main,v2-main-trial-0003,v2 Optuna main trial,triton,fa3,8,2048,fcfs,0.75,off,0.071,0.173,4,0.128,0.2182,55.9,0.018,0.027,3.724,0.229,1.6754,428.9,0.139,0.71,3.574,0.071,1.7005,435.3,0.141,0.285,0.907,0.427,5.79,185.3,0.06,10.196,3.088,,,,,,,,,,,,,,,,,,,,,,,,,sha256:8b47f94e2
